SOL Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
5,Austria,182.37,78.23,74.77,78.4,75.49,10.4,25.68,19.2,77.79
33,Belarus,107.35,31.96,39.73,44.44,30.69,16.79,30.05,44.47,64.37
18,Belgium,150.89,76.54,55.83,75.2,78.52,6.91,36.24,50.27,86.03
29,Bosnia And Herzegovina,125.71,42.56,56.99,53.48,38.56,10.75,25.89,60.71,80.48
28,Bulgaria,126.34,40.26,61.88,56.13,40.92,8.97,29.39,64.48,82.76
17,Croatia,156.1,43.13,75.09,64.23,56.36,14.2,28.13,30.58,89.69
16,Czechia,156.33,56.4,74.69,75.37,49.18,15.46,29.72,36.3,77.13
2,Denmark,190.01,94.73,73.28,79.96,91.67,6.66,28.69,20.4,81.8
9,Estonia,173.56,61.22,76.62,72.83,56.45,9.11,24.72,19.01,64.28
4,Finland,182.79,89.05,72.99,76.4,77.46,8.64,28.96,11.86,56.64
20,France,150.73,74.06,50.8,80.99,80.62,13.48,34.53,41.79,89.94
7,Germany,176.76,93.72,64.58,73.77,70.62,9.12,31.36,27.48,82.97
27,Greece,129.86,38.95,55.86,56.96,60.96,10.13,33.94,51.95,94.18
24,Hungary,134.01,49.81,65.19,51.64,42.75,11.6,35.81,47.81,79.48
6,Iceland,179.1,71.88,75.87,65.69,96.77,6.31,19.98,16.24,68.81
19,Ireland,150.89,73.84,54.98,52.78,83.11,7.4,37.7,33.59,89.13
23,Italy,138.63,58.7,55.63,66.77,73.11,9.52,34.17,53.93,91.48
22,Latvia,147.59,45.94,62.79,62.18,52.87,8.48,31.16,33.91,74.7
14,Lithuania,160.02,54.6,66.16,70.97,47.66,10.97,25.67,27.01,69.86
3,Netherlands,183.31,83.89,72.78,75.76,78.64,7.35,27.81,25.28,87.11
31,North Macedonia,108.47,31.97,61.41,56.49,34.15,12.67,27.22,80.03,76.3
8,Norway,173.57,79.43,66.65,75.5,106.09,8.49,26.87,18.14,68.68
25,Poland,132.65,47.09,70.68,58.25,42.04,14.03,31.34,54.33,75.9
13,Portugal,161.91,44.96,70.11,71.93,52.88,12.65,29.64,29.57,97.72
26,Romania,131.71,45.19,71.65,56.09,38.5,10.66,34.13,58.42,77.69
34,Russia,101.67,34.61,59.87,58.44,33.17,11.14,44.6,62.32,38.46
30,Serbia,116.24,35.83,61.74,51.62,39.19,17.08,31.1,61.2,83.23
21,Slovakia,149.68,50.39,70.26,60.89,49.08,11.14,27.81,39.08,78.13
11,Slovenia,168.2,56.14,78.21,65.28,59.38,10.89,26.79,22.65,77.56
12,Spain,164.48,62.68,66.87,78.8,59.09,9.59,29.38,39.62,93.18
10,Sweden,171.4,90.55,52.8,68.8,79.17,8.56,29.89,18.44,74.92
1,Switzerland,190.82,110.96,78.65,74.47,131.75,8.42,28.73,20.09,80.05
32,Ukraine,107.35,30.1,51.72,53.43,29.21,10.77,37.9,64.31,70.77
15,United Kingdom,158.99,82.56,54.74,74.93,71.03,9.57,34.44,40.25,88.04
