Country,Score,Rank
Afghanistan,19,165
Albania,36,104
Algeria,36,104
Angola,27,142
Argentina,42,78
Armenia,49,60
Australia,77,11
Austria,76,15
Azerbaijan,30,129
Bahamas,63,30
Bahrain,42,78
Bangladesh,26,146
Barbados,64,29
Belarus,47,63
Belgium,76,15
Benin,41,83
Bhutan,68,24
Bolivia,31,124
Bosnia and Herzegovina,35,111
Botswana,60,35
Brazil,38,94
Brunei,60,35
Bulgaria,44,69
Burkina Faso,40,86
Burundi,19,165
Cambodia,21,160
Cameroon,25,149
Canada,77,11
Central African Republic,26,146
Chad,21,160
Chile,67,25
China,42,78
Colombia,39,92
Comoros,21,160
Congo,19,165
Costa Rica,57,42
Cote d'Ivoire,36,104
Croatia,47,63
Cuba,47,63
Cyprus,57,42
Czechia,54,49
Democratic Republic of the Congo,18,170
Denmark,88,1
Djibouti,27,142
Dominica,55,48
Dominican Republic,28,137
Ecuador,39,92
Egypt,33,117
El Salvador,36,104
Equatorial Guinea,16,174
Eritrea,21,160
Estonia,75,17
Eswatini,33,117
Ethiopia,38,94
Finland,85,3
France,69,23
Gabon,30,129
Gambia,37,102
Georgia,56,45
Germany,80,9
Ghana,43,75
Greece,50,59
Grenada,53,52
Guatemala,25,149
Guinea,28,137
Guinea Bissau,19,165
Guyana,41,83
Haiti,18,170
Honduras,24,157
Hong Kong,77,11
Hungary,44,69
Iceland,75,17
India,40,86
Indonesia,37,102
Iran,25,149
Iraq,21,160
Ireland,72,20
Israel,60,35
Italy,53,52
Jamaica,44,69
Japan,74,19
Jordan,49,60
Kazakhstan,38,94
Kenya,31,124
North Korea,18,170
South Korea,61,33
Kosovo,36,104
Kuwait,42,78
Kyrgyzstan,31,124
Laos,29,134
Latvia,57,42
Lebanon,25,149
Lesotho,41,83
Liberia,28,137
Libya,17,173
Lithuania,60,35
Luxembourg,80,9
Madagascar,25,149
Malawi,30,129
Malaysia,51,57
Maldives,43,75
Mali,30,129
Malta,53,52
Mauritania,29,134
Mauritius,53,52
Mexico,31,124
Moldova,34,115
Mongolia,35,111
Montenegro,45,67
Morocco,40,86
Mozambique,25,149
Myanmar,28,137
Namibia,51,57
Nepal,33,117
Netherlands,82,8
New Zealand,88,1
Nicaragua,22,159
Niger,32,123
Nigeria,25,149
North Macedonia,35,111
Norway,84,7
Oman,54,49
Pakistan,31,124
Panama,35,111
Papua New Guinea,27,142
Paraguay,28,137
Peru,38,94
Philippines,34,115
Poland,56,45
Portugal,61,33
Qatar,63,30
Romania,44,69
Russia,30,129
Rwanda,54,49
Saint Lucia,56,45
Saint Vincent and the Grenadines,59,40
Sao Tome and Principe,47,63
Saudi Arabia,53,52
Senegal,45,67
Serbia,38,94
Seychelles,66,27
Sierra Leone,33,117
Singapore,85,3
Slovakia,49,60
Slovenia,60,35
Solomon Islands,42,78
Somalia,12,179
South Africa,44,69
South Sudan,12,179
Spain,62,32
Sri Lanka,38,94
Sudan,16,174
Suriname,38,94
Sweden,85,3
Switzerland,85,3
Syria,14,178
Taiwan,65,28
Tajikistan,25,149
Tanzania,38,94
Thailand,36,104
Timor,40,86
Togo,29,134
Trinidad and Tobago,40,86
Tunisia,44,69
Turkey,40,86
Uganda,27,142
Ukraine,33,117
United Arab Emirates,71,21
United Kingdom,77,11
United States,67,25
Uruguay,71,21
Uzbekistan,26,146
Vanuatu,43,75
Venezuela,15,176
Vietnam,36,104
Yemen,15,176
Zambia,33,117
Zimbabwe,24,157
,,
